Player,Pos,Age,Tm,All Star,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jarred Vanderbilt,PF,21,MIN,0,27,10,517,4.7,7.9,0.602,0.1,0.1,0.5,4.7,7.7,0.604,1.8,3.6,0.51,3.5,7.8,11.3,3.3,2.1,1.3,1.7,4.2,11.4
Fred VanVleet,SG,26,TOR,0,28,28,1020,6.8,16.4,0.417,3.2,8.6,0.377,3.6,7.8,0.462,3.2,3.6,0.892,0.7,3.5,4.2,6.5,1.7,0.7,2,2.2,20.2
Devin Vassell,SF,20,SAS,0,26,1,451,4,10.1,0.397,2,5,0.397,2,5,0.397,1.4,1.7,0.857,1.3,5.3,6.6,2.2,2.3,0.7,1,2.6,11.4
Gabe Vincent,PG,24,MIA,0,18,5,292,5.1,14.3,0.353,2.1,8.8,0.239,3,5.5,0.533,1.8,2.1,0.882,0.5,2.2,2.7,3.3,0.9,0.1,2.2,4.4,14.1
Noah Vonleh,F,25,BRK,0,3,0,8,0,9,0,0,4.5,0,0,4.5,0,0,0,0,0,4.5,4.5,4.5,0,0,9,9,0
Nikola Vucevic,C,30,ORL,1,29,29,974,10,21,0.476,2.8,6.7,0.414,7.2,14.3,0.505,2.3,2.8,0.816,2.2,10.2,12.4,3.7,1.2,0.6,1.8,1.8,25.1
Dean Wade,PF,24,CLE,0,23,0,192,3.2,9.2,0.347,2.1,6.2,0.333,1.1,3,0.375,0.7,0.9,0.8,1.5,3.9,5.4,1.9,0.9,0.4,1.9,3,9.2
Moritz Wagner,C,23,WAS,0,14,3,191,6,10.2,0.593,1.1,3.4,0.333,4.9,6.8,0.722,3,4.7,0.64,1.1,7,8.1,2.5,1.7,0.8,1.5,6.8,16.2
Kemba Walker,PG,30,BOS,0,13,13,364,7,19.3,0.364,3.4,9.4,0.358,3.7,9.9,0.37,3.7,4.1,0.902,0.7,4.1,4.7,5.1,1.4,0.2,2.9,1.7,21.1
Lonnie Walker,SG,22,SAS,0,25,22,666,5.5,13.5,0.406,2.1,5.9,0.355,3.4,7.5,0.446,1.5,1.9,0.8,0.3,3.7,3.9,2.3,0.6,0.5,1.4,2.9,14.5
John Wall,PG,30,HOU,0,19,19,591,8.6,19.5,0.441,2.4,6.8,0.351,6.2,12.7,0.488,4.1,5.5,0.744,0.6,3.7,4.3,7.2,1.2,0.8,4,1.6,23.6
Brad Wanamaker,PG,31,GSW,0,29,0,465,3,9,0.336,0.8,3.5,0.222,2.2,5.5,0.408,2.9,3.3,0.884,0.5,3.6,4,6,1.8,0.3,1.9,3.3,9.8
T.J. Warren,SF,27,IND,0,4,4,117,8.3,15.7,0.529,0,2.2,0,8.3,13.5,0.614,2.5,3.1,0.8,0.6,3.7,4.3,1.5,0.6,0,1.2,4.9,19.1
