Player,Pos,Age,Tm,All Star,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kent Bazemore,SF,31,GSW,0,27,0,448,5.5,10.6,0.515,2.3,4.9,0.459,3.2,5.7,0.563,1.9,2.4,0.8,1,5.7,6.8,3.5,1.8,1.3,2.3,4.8,15.1
Darius Bazley,PF,20,OKC,0,28,28,872,5.2,13.3,0.393,1.7,6.1,0.286,3.5,7.3,0.483,1.9,2.5,0.767,0.6,7.9,8.5,2.1,0.5,0.8,2,1.2,14.1
Bradley Beal,SG,27,WAS,1,24,24,846,11.6,24.6,0.473,2.6,7.6,0.337,9.1,17,0.534,7.7,8.6,0.896,1.4,3.9,5.3,4.8,1.4,0.5,3.2,2.6,33.4
Malik Beasley,SG,24,MIN,0,29,28,951,8.5,18.6,0.455,3.8,9.5,0.398,4.7,9.1,0.515,2.2,2.6,0.843,1,4.4,5.3,2.8,0.9,0.2,1.8,1.9,23
Jordan Bell,C,26,WAS,0,3,1,50,3.6,10.8,0.333,0,1.4,0,3.6,9.4,0.385,0,0,0,3.6,7.9,11.5,3.6,0.7,2.2,2.2,2.9,7.2
DeAndre' Bembry,SF,26,TOR,0,19,0,261,4.6,7.4,0.611,1,1.9,0.5,3.6,5.5,0.65,0.8,1.5,0.545,1.1,3,4.1,4.1,1.7,0.7,1.7,3.3,10.9
Dāvis Bertāns,PF,28,WAS,0,23,3,593,4.7,12.3,0.381,4.1,10.9,0.378,0.5,1.3,0.409,2.6,3.2,0.827,0.6,3.8,4.4,1.4,1,0.4,0.8,3.5,16.1
Patrick Beverley,PG,32,LAC,0,20,20,483,4,9.2,0.435,2.6,5.9,0.443,1.4,3.4,0.422,1.6,2.2,0.759,1.5,4.8,6.3,3.2,1.5,1.1,1.1,5,12.3
Saddiq Bey,SF,21,DET,0,26,9,529,5.2,12.4,0.418,3.4,8.2,0.413,1.8,4.2,0.426,2.6,3.1,0.826,0.7,5.7,6.5,1.7,1,0.1,1.3,2.4,16.3
Tyler Bey,SF,22,DAL,0,4,0,13,5.5,13.8,0.4,0,0,0,5.5,13.8,0.4,5.5,11.1,0.5,5.5,2.8,8.3,0,0,2.8,0,5.5,16.6
Khem Birch,C,28,ORL,0,29,0,631,4.1,8,0.514,0.2,0.7,0.25,3.9,7.3,0.539,2.6,3.5,0.742,4.6,5.3,9.9,1.9,1.1,1.2,1.1,2.7,11
Goga Bitadze,C,21,IND,0,13,0,124,6.4,11,0.579,0.6,3.5,0.167,5.8,7.5,0.769,2.6,3.5,0.75,2.6,5.8,8.4,0.9,0.9,4.1,1.2,6.7,16
Bismack Biyombo,C,28,CHO,0,26,16,585,4.2,7.3,0.58,0,0.1,0,4.2,7.3,0.585,1.3,2.9,0.447,3.5,5.8,9.3,2.1,0.4,2,1.4,3.8,9.8
Nemanja Bjelica,PF,32,SAC,0,13,0,211,5.1,11.4,0.448,1.2,4.4,0.269,3.9,7,0.561,3.9,4.8,0.821,2,6.3,8.4,4.8,0,0.3,2.7,4.1,15.4
Eric Bledsoe,SG,31,NOP,0,27,26,780,5.7,13.1,0.437,2.7,6.8,0.401,3,6.3,0.474,1.6,2.5,0.648,0.6,3.8,4.4,4.6,0.8,0.3,2.2,1.8,15.8
Keljin Blevins,SF,25,POR,0,8,0,38,0.9,8.5,0.111,0,2.8,0,0.9,5.7,0.167,0,0,0,0,0,0,3.8,1.9,0,2.8,3.8,1.9
Bogdan Bogdanović,SG,28,ATL,0,9,2,213,5.1,13.2,0.385,3.5,9.8,0.362,1.5,3.4,0.45,1.4,1.5,0.889,0.3,5.4,5.7,3.2,0.7,0.2,1.9,3,15
Bojan Bogdanović,SF,31,UTA,0,29,29,891,5.9,14.2,0.416,3,7.7,0.387,2.9,6.5,0.45,3.1,3.6,0.864,0.6,4.1,4.6,2.5,0.5,0,1.8,1.8,17.9
Bol Bol,PF,21,DEN,0,12,2,65,3.9,8.9,0.438,1.1,3.3,0.333,2.8,5.5,0.5,0.6,1.1,0.5,0,5,5,1.1,0.6,2.2,2.8,3.9,9.4
Marques Bolden,C,22,CLE,0,6,0,29,1.2,3.7,0.333,0,0,0,1.2,3.7,0.333,6.2,9.9,0.625,3.7,3.7,7.4,0,2.5,2.5,2.5,0,8.7
Jordan Bone,PG,23,ORL,0,14,0,196,4.2,9.9,0.426,1.8,5.9,0.313,2.4,4,0.591,0,0,0,0.7,3.7,4.4,3.3,0.4,0,0.6,2,10.3
Isaac Bonga,SF,21,WAS,0,17,7,230,2.2,5.6,0.389,1.4,3.4,0.409,0.8,2.2,0.357,0.3,0.5,0.667,1.3,4.7,5.9,1.4,0.6,0.6,1.1,4.4,6.1
Devin Booker,SG,24,PHO,2,23,23,810,9.2,18.6,0.492,2.1,5.9,0.353,7.1,12.7,0.556,4.5,5.5,0.829,0.2,3.6,3.8,4.5,0.9,0.3,3.6,3.4,24.9
Chris Boucher,C,28,TOR,0,28,0,654,7.3,13.9,0.528,2.5,5.6,0.441,4.8,8.3,0.587,3.8,5.1,0.75,3,7.4,10.4,1.6,0.7,3.2,1,4.1,20.9
Brian Bowen,SF,22,IND,0,1,0,5,7.2,14.4,0.5,0,0,0,7.2,14.4,0.5,7.2,7.2,1,0,7.2,7.2,0,0,0,0,0,21.6
Avery Bradley,SG,30,MIA,0,10,1,211,5.3,11.3,0.47,2.7,6.5,0.421,2.6,4.8,0.536,1.2,1.5,0.778,0.3,2.7,3.1,2.4,1.2,0.2,1.5,4.4,14.5
Tony Bradley,C,23,PHI,0,10,1,117,5.8,11.1,0.528,0,0.3,0,5.8,10.8,0.543,0.9,1.5,0.6,6.5,8.9,15.4,1.8,0.9,1.8,0.3,3.4,12.6
Jarrell Brantley,PF,24,UTA,0,8,0,22,4.9,13.1,0.375,4.9,9.8,0.5,0,3.3,0,0,0,0,1.6,4.9,6.5,0,1.6,1.6,1.6,6.5,14.7
Ignas Brazdeikis,SF,22,NYK,0,4,0,7,0,5.1,0,0,0,0,0,5.1,0,10.3,10.3,1,5.1,5.1,10.3,5.1,0,0,5.1,0,10.3
Mikal Bridges,SF,24,PHO,0,27,27,898,5.5,10.9,0.504,2.1,5.3,0.398,3.4,5.6,0.604,2.2,2.6,0.833,1.5,4.3,5.8,2.3,0.7,1,0.8,2,15.3
Miles Bridges,PF,22,CHO,0,28,2,747,5.1,10.8,0.469,1.7,4.8,0.364,3.3,6,0.552,1.5,1.6,0.939,1.8,6,7.8,2.6,1,1.1,2.4,3.3,13.3
Malcolm Brogdon,PG,28,IND,0,29,29,1045,8.1,18.4,0.442,2.7,6.7,0.395,5.5,11.7,0.469,2.7,2.9,0.906,0.8,4.1,4.8,6.5,1.3,0.3,2.1,1.9,21.6
Dillon Brooks,SF,25,MEM,0,24,24,700,7.6,19,0.397,2.4,7.4,0.319,5.2,11.6,0.447,2.1,2.6,0.8,1.3,2.7,4,3.2,1.6,0.5,2.8,4.1,19.5
Bruce Brown,PG,24,BRK,0,26,13,498,5.1,9.3,0.555,0.3,1.6,0.182,4.8,7.7,0.632,1.4,2.1,0.69,2.4,5.9,8.2,2,1.2,0.7,1.6,3.5,12
Jaylen Brown,SG,24,BOS,1,26,26,868,10.7,21.1,0.506,2.6,6.4,0.409,8,14.7,0.548,4,5.2,0.768,1.3,4.7,6,3.9,1.3,0.6,3.1,3.2,27.9
Moses Brown,C,21,OKC,0,7,0,31,8.1,11.6,0.7,0,0,0,8.1,11.6,0.7,8.1,16.3,0.5,4.6,12.8,17.4,3.5,1.2,4.6,1.2,4.6,24.4
Sterling Brown,SG,25,HOU,0,26,1,556,4.7,10.4,0.45,2.6,6.3,0.408,2.1,4,0.516,0.6,0.6,1,1.3,5.2,6.5,3,1.6,0.5,1.1,3.4,12.6
Troy Brown Jr.,SF,21,WAS,0,13,0,205,3.9,10.9,0.355,1.9,6.3,0.306,1.9,4.6,0.423,1.2,2.1,0.583,1.4,6.5,7.9,2.3,0.4,0.4,2.1,4,10.9
Jalen Brunson,PG,24,DAL,0,24,6,578,6.4,12.5,0.515,1.6,4.2,0.382,4.8,8.2,0.583,3,3.4,0.889,0.3,4.4,4.7,5.4,0.6,0,1.8,2.2,17.4
Thomas Bryant,C,23,WAS,0,10,10,271,7.8,12.1,0.648,1.2,2.8,0.429,6.6,9.3,0.714,2.1,3.2,0.667,2.4,5.7,8.1,2,0.5,1.1,1.5,4.1,19
Reggie Bullock,SF,29,NYK,0,25,25,669,4.2,10.2,0.411,2.4,6.2,0.383,1.8,4,0.453,0.7,0.9,0.813,0.4,4.3,4.7,1.8,1,0.3,1,3.3,11.5
Trey Burke,PG,28,DAL,0,27,0,466,6.1,13.8,0.444,2.8,7,0.396,3.3,6.7,0.494,1.8,2.1,0.852,0.3,2,2.3,3.3,1.6,0.2,1.2,3.1,16.8
Alec Burks,SG,29,NYK,0,18,3,459,5,12.7,0.395,2.8,6.9,0.409,2.2,5.8,0.378,2.7,3.4,0.814,0.7,5.8,6.5,3,1.2,0.4,1.6,2.4,15.6
Jimmy Butler,SF,31,MIA,0,16,16,527,6.6,15,0.438,0.3,1.6,0.167,6.3,13.3,0.472,7.9,9.2,0.858,2,6.4,8.4,8.1,2.1,0.4,2.3,1.2,21.2
Bruno Caboclo,PF,25,HOU,0,6,0,36,8,17,0.471,0,5,0,8,12,0.667,1,2,0.5,3,11,14,1,0,2,4,6,17
Devontae Cacok,PF,24,LAL,0,1,0,2,18,18,1,0,0,0,18,18,1,0,0,0,0,0,0,0,0,0,0,0,36
Kentavious Caldwell-Pope,SG,27,LAL,0,25,25,627,4.3,9.6,0.446,2.2,5.3,0.424,2.1,4.4,0.474,1.3,1.6,0.852,0.5,2.8,3.2,1.9,1.1,0.5,1.4,2.2,12.2
Facundo Campazzo,PG,29,DEN,0,25,1,350,3.9,9.9,0.396,2.5,6.6,0.375,1.4,3.3,0.438,2.3,3,0.759,0.5,1.5,2.1,4.9,2.4,0.4,1.7,4.5,12.5
Vlatko Čančar,PF,23,DEN,0,13,0,45,2.4,11.2,0.214,0.8,6.4,0.125,1.6,4.8,0.333,0.8,1.6,0.5,2.4,7.2,9.6,0.8,3.2,1.6,4,2.4,6.4
Clint Capela,C,26,ATL,0,25,25,732,7.8,13.4,0.579,0,0,0,7.8,13.4,0.579,2,3.8,0.532,5.6,11.6,17.2,1.2,0.9,2.7,1.7,2.8,17.6
Vernon Carey Jr.,C,19,CHO,0,3,0,6,6,18,0.333,0,6,0,6,12,0.5,6,12,0.5,12,6,18,6,0,6,0,0,18
Jevon Carter,PG,25,PHO,0,23,0,256,3.5,10.3,0.342,2,6.9,0.286,1.5,3.4,0.458,0.3,0.3,1,0.4,4.1,4.5,3.7,1.4,0.8,0.7,3.8,9.3
Wendell Carter Jr.,C,21,CHI,0,16,16,425,6.4,11.7,0.551,0.3,1.3,0.267,6.1,10.4,0.585,4.4,6.1,0.722,3,7.5,10.5,3,0.9,0.9,2.6,4.1,17.6
Michael Carter-Williams,SG,29,ORL,0,10,5,246,4.2,12,0.354,0.3,2.5,0.118,4,9.5,0.415,2.5,3.4,0.739,2.6,4.2,6.9,4.4,0.7,0.6,2.3,4,11.3
Alex Caruso,PG,26,LAL,0,22,0,412,3.9,8.5,0.464,1.9,4.4,0.44,2,4.1,0.489,0.9,1,0.833,1,3.7,4.6,4.4,1.9,0.3,2.2,3.1,10.7
Willie Cauley-Stein,C,27,DAL,0,26,10,454,4.9,7.9,0.626,0.1,0.4,0.2,4.8,7.5,0.649,2.2,3.5,0.636,2.6,6.9,9.5,1.6,0.7,1.5,1.1,5.2,12.1
Chris Chiozza,PG,25,BRK,0,12,0,111,3.9,13.3,0.293,1.6,5.8,0.278,2.3,7.5,0.304,2.9,3.6,0.818,1,2.6,3.6,9.1,1.3,1,2.6,2.6,12.3
Marquese Chriss,PF,23,GSW,0,2,0,27,6.7,18.7,0.357,1.3,6.7,0.2,5.3,12,0.444,2.7,5.3,0.5,4,13.3,17.3,2.7,0,2.7,2.7,4,17.3
Gary Clark,SF,26,ORL,0,26,11,545,2,6.7,0.294,1.5,5.7,0.264,0.5,1,0.467,0.4,0.5,0.857,1.9,4.2,6.1,1.6,0.6,0.3,1,1.9,5.9
Brandon Clarke,PF,24,MEM,0,20,13,543,7.4,14.7,0.5,0.7,2.4,0.306,6.6,12.3,0.538,1.7,2.7,0.634,2.1,5.2,7.4,2.4,1.6,1,0.9,2.2,17.2
Jordan Clarkson,SG,28,UTA,0,29,0,760,9.2,20.3,0.453,4.5,11.7,0.382,4.7,8.6,0.549,2.2,2.3,0.958,1.3,4.4,5.6,2.9,1.3,0.3,2.6,1.9,25
Amir Coffey,SG,23,LAC,0,19,0,154,4.9,9.4,0.525,2.6,4.9,0.524,2.3,4.4,0.526,0.7,2.1,0.333,0.7,2.8,3.5,1.9,0.9,0,1.9,2.6,13.1
John Collins,PF,23,ATL,0,28,28,884,8.1,14.8,0.547,1.6,3.9,0.411,6.5,11,0.595,2.9,3.4,0.867,2.5,6.1,8.6,1.8,0.5,1.1,1.6,3.9,20.7
Mike Conley,PG,33,UTA,2,23,23,674,7,15.5,0.45,3.4,8.3,0.41,3.6,7.2,0.496,2.8,3.5,0.815,1.2,3.3,4.5,7.2,1.7,0.1,2.5,2.2,20.2
Pat Connaughton,SG,28,MIL,0,25,0,475,4.2,9.7,0.438,2.5,6.5,0.384,1.7,3.2,0.548,0.4,0.6,0.625,1.7,5.5,7.2,2.7,1.3,0.9,0.5,2.5,11.4
Quinn Cook,PG,27,LAL,0,15,0,51,6.4,14.8,0.429,2.8,7.8,0.364,3.5,7.1,0.5,2.8,3.5,0.8,0,3.5,3.5,3.5,0.7,0,2.1,1.4,18.4
DeMarcus Cousins,C,30,HOU,0,25,11,506,5.6,14.9,0.376,2.8,8.3,0.336,2.8,6.7,0.426,3.1,4.2,0.746,2.1,11.5,13.6,4.3,1.5,1.3,2.8,5.3,17.1
Robert Covington,PF,30,POR,0,26,26,816,3,8.2,0.371,1.9,5.8,0.333,1.1,2.4,0.463,0.7,0.8,0.889,0.9,6.2,7.1,2.1,1.9,1.1,1.2,3,8.7
Torrey Craig,SF,30,MIL,0,15,0,175,3.5,7.6,0.459,1.6,3.7,0.444,1.9,3.9,0.474,0.2,0.4,0.5,2.5,5.6,8,2.5,1.6,1,1,4.7,8.8
Jae Crowder,PF,30,PHO,0,24,16,670,4.4,11.5,0.379,3.1,8.9,0.345,1.3,2.6,0.49,1.5,1.8,0.848,0.5,6.2,6.7,2.8,1.1,0.3,1,2.6,13.3
Jarrett Culver,SG,21,MIN,0,16,7,339,5.4,11.8,0.459,0.8,3.3,0.258,4.6,8.5,0.538,2.1,3.5,0.606,2.7,5.8,8.5,1.6,1.2,0.6,2.2,4,13.8
Seth Curry,SG,30,PHI,0,22,22,637,5.8,11.5,0.5,2.6,5.4,0.479,3.2,6.1,0.519,2.2,2.3,0.975,0.3,2.1,2.4,3.3,1,0.3,1.8,2.1,16.3
Stephen Curry,PG,32,GSW,2,29,29,987,10.6,21.5,0.492,5.3,12.4,0.425,5.3,9.1,0.582,5.3,5.6,0.935,0.5,5.2,5.7,6.4,1.3,0.1,3.4,2,31.7
Anthony Davis,PF,27,LAL,2,23,23,755,9.7,18.3,0.533,0.8,2.8,0.293,8.9,15.5,0.575,4.4,6.2,0.715,2.2,7,9.2,3.3,1.5,2,2.1,2,24.7
Ed Davis,C,31,MIN,0,19,7,264,2.5,5.9,0.419,0,0,0,2.5,5.9,0.419,1,1.1,0.875,5.2,8,13.2,2.6,1.4,1.4,0.8,6.7,5.9
Terence Davis,SG,23,TOR,0,22,2,304,6.6,15.2,0.438,3.3,8.6,0.384,3.3,6.5,0.509,1.1,1.2,0.9,0.7,3.6,4.3,2.4,1.4,0.4,2.3,4.5,17.6
DeMar DeRozan,PF,31,SAS,0,25,25,835,7.1,14.5,0.488,0.7,2.1,0.333,6.4,12.4,0.514,6.5,7.3,0.893,0.8,4.6,5.4,7.4,0.8,0.3,1.8,1.9,21.3
Hamidou Diallo,SG,22,OKC,0,28,5,673,7.1,14.7,0.48,0.6,2,0.289,6.5,12.7,0.511,4.1,6.2,0.661,1.7,6.4,8.1,3.7,1.6,0.5,2.2,3.8,18.8
Gorgui Dieng,C,31,MEM,0,19,1,336,5.4,10.1,0.532,2.1,4.3,0.5,3.2,5.8,0.556,2.8,3.3,0.839,2.9,6.9,9.7,2.8,1.7,1.4,2.1,3.7,15.6
Spencer Dinwiddie,SG,27,BRK,0,3,3,64,3.4,9,0.375,1.1,3.9,0.286,2.3,5.1,0.444,3.4,3.4,1,0,7.3,7.3,5.1,1.1,0.6,2.8,2.3,11.3
Donte DiVincenzo,SG,24,MIL,0,28,28,732,5.1,12.2,0.419,2.7,6.7,0.401,2.4,5.5,0.441,0.6,1,0.619,1.4,4.7,6.1,3.8,1.7,0.3,1.7,2.1,13.6
Luka Doncic,PG,21,DAL,2,27,27,954,10.2,21.5,0.475,2.5,7.3,0.335,7.8,14.2,0.546,6.7,8.5,0.795,0.9,7.9,8.8,9.6,1,0.7,4.3,2.2,29.6
Luguentz Dort,SG,21,OKC,0,27,27,800,5.3,12.9,0.409,2.3,7,0.323,3,5.9,0.511,2.4,3.2,0.746,0.9,3.4,4.3,1.8,1.1,0.3,1.8,3.1,15.2
Damyean Dotson,SG,26,CLE,0,24,6,490,5.2,12.7,0.41,1.9,6.8,0.283,3.3,6,0.556,1.3,1.9,0.692,0.3,2.9,3.2,3.8,0.8,0.2,1.5,1.6,13.7
Devon Dotson,PG,21,CHI,0,1,0,10,7.2,14.4,0.5,0,0,0,7.2,14.4,0.5,0,0,0,0,3.6,3.6,0,0,0,0,3.6,14.4
Sekou Doumbouya,PF,20,DET,0,24,1,314,4.1,11.7,0.353,1.1,4.5,0.256,3,7.2,0.413,1.9,2.6,0.739,1.7,4.9,6.6,1.6,1.1,0.2,1.8,4.2,11.4
PJ Dozier,SG,24,DEN,0,17,0,330,4.8,10.3,0.468,1.6,4,0.405,3.2,6.2,0.509,2,2.7,0.72,1.7,5.9,7.6,2.5,1,1.1,1.4,3.2,13.2
Goran Dragić,PG,34,MIA,0,17,6,451,7.1,15.6,0.456,2.2,6.2,0.359,4.9,9.3,0.521,3,3.8,0.809,0.6,3.6,4.2,7.2,0.7,0.2,4.1,3.6,19.5
Andre Drummond,C,27,CLE,0,25,25,722,9,18.9,0.474,0,0.4,0,9,18.5,0.484,3.8,6.4,0.597,5,11.8,16.8,3.2,2,1.4,4,3.4,21.8
Jared Dudley,PF,35,LAL,0,6,0,22,1.6,1.6,1,1.6,1.6,1,0,0,0,0,0,0,1.6,8.2,9.8,1.6,0,0,0,0,4.9
Kevin Durant,PF,32,BRK,1,19,18,679,10,19,0.524,2.6,6,0.434,7.4,13,0.565,6.7,7.7,0.869,0.4,7,7.4,5.3,0.7,1.4,3.6,2.3,29.2
Anthony Edwards,SG,19,MIN,0,29,12,817,7,18.2,0.383,2.3,7.3,0.319,4.6,10.8,0.427,2.4,3,0.806,0.8,3.9,4.7,3,0.9,0.4,2,1.9,18.6
Carsen Edwards,SG,22,BOS,0,13,1,134,6.4,14.8,0.436,2.7,8.1,0.333,3.8,6.7,0.56,1.9,2.4,0.778,0.5,3,3.5,1.3,1.1,0.3,0.5,4.3,17.5
CJ Elleby,SF,20,POR,0,12,0,96,5.2,10.9,0.483,1.9,6.8,0.278,3.4,4.1,0.818,2.3,3.4,0.667,1.5,3,4.5,1.1,1.1,1.1,1.1,6,14.6
Wayne Ellington,SG,33,DET,0,21,18,481,5.8,12.6,0.456,4.3,9.7,0.438,1.5,2.9,0.513,0.9,1.2,0.75,0.5,2.5,3.1,1.8,0.6,0.3,1,2.4,16.7
Joel Embiid,C,26,PHI,1,23,23,748,10.4,19.3,0.54,1.3,3.3,0.397,9.1,16.1,0.569,10.7,12.6,0.851,2.1,9.8,11.9,3.4,1.4,1.3,3.8,2.8,32.9
James Ennis,SF,30,ORL,0,20,19,438,4.2,8.5,0.495,1.4,3.1,0.447,2.8,5.3,0.523,2.1,2.5,0.839,1.9,4.3,6.2,2.2,1.6,0.5,1.6,3.6,11.9
Drew Eubanks,C,23,SAS,0,11,0,139,4.1,9.6,0.432,0,0,0,4.1,9.6,0.432,3.1,4.1,0.75,1.8,7.8,9.6,1,0.3,3.9,1.3,3.6,11.4
Dante Exum,SG,25,CLE,0,6,3,116,3.1,8.1,0.385,0.6,3.4,0.182,2.5,4.7,0.533,0.3,0.6,0.5,0.6,4.7,5.3,4,1.2,0.6,2.2,2.8,7.1
Tacko Fall,C,25,BOS,0,6,0,49,5.9,8.8,0.667,0,0,0,5.9,8.8,0.667,2.2,5.9,0.375,5.9,9.6,15.4,0,0,5.9,0.7,6.6,14
Derrick Favors,C,29,UTA,0,27,0,444,5.4,8.5,0.629,0,0.1,0,5.4,8.4,0.635,3,3.7,0.804,4.5,7.6,12.2,2,1.2,2.4,1.3,5.4,13.7
Cristiano Felício,C,28,CHI,0,6,0,38,2.8,3.8,0.75,0,0,0,2.8,3.8,0.75,4.7,7.6,0.625,5.7,5.7,11.4,4.7,1.9,0,2.8,2.8,10.4
Terrance Ferguson,SG,22,PHI,0,7,0,24,0,4.5,0,0,4.5,0,0,0,0,0,0,0,0,1.5,1.5,3,0,0,1.5,4.5,0
Bruno Fernando,C,22,ATL,0,15,0,132,2.5,6,0.409,0,0.5,0,2.5,5.5,0.45,2.5,4.1,0.6,3.3,10.9,14.2,2.5,0.5,0.5,3.3,4.1,7.4
Yogi Ferrell,PG,27,CLE,0,2,0,40,7.2,18.9,0.381,2.7,8.1,0.333,4.5,10.8,0.417,0,1.8,0,2.7,3.6,6.3,4.5,2.7,0.9,2.7,3.6,17.1
Dorian Finney-Smith,PF,27,DAL,0,19,19,583,3.9,8.6,0.45,2.3,6,0.381,1.6,2.7,0.605,0.6,0.7,0.833,1.7,3.9,5.6,1.4,1.2,0.5,0.7,3.2,10.7
Malachi Flynn,PG,22,TOR,0,13,0,106,3.7,13.2,0.282,1.7,7.8,0.217,2,5.4,0.375,0.7,1.4,0.5,0.3,2.7,3.1,5.4,1.4,0,1.4,3.4,9.8
Bryn Forbes,SG,27,MIL,0,28,5,514,6.8,14.1,0.48,4,8.5,0.471,2.8,5.7,0.494,1,1.4,0.7,0.4,1.9,2.2,0.9,0.5,0,1.3,2.4,18.6
Trent Forrest,PG,22,UTA,0,4,0,13,0,5.5,0,0,5.5,0,0,0,0,5.5,5.5,1,0,2.8,2.8,2.8,5.5,0,0,5.5,5.5
Evan Fournier,SF,28,ORL,0,15,15,430,7.3,16.2,0.451,2.8,7.8,0.366,4.4,8.4,0.53,5,6.3,0.8,0.3,2.8,3.2,4.5,1.3,0.5,2.6,2.8,22.4
De'Aaron Fox,PG,23,SAC,0,26,26,860,9.2,19.3,0.476,2,5.9,0.343,7.2,13.4,0.534,4.9,7.2,0.69,0.8,2.8,3.6,7.4,1.3,0.5,3.4,2.9,25.3
Tim Frazier,PG,30,MEM,0,3,0,33,2.2,8.7,0.25,0,2.2,0,2.2,6.5,0.333,0,0,0,0,4.4,4.4,7.6,1.1,0,3.3,4.4,4.4
Markelle Fultz,PG,22,ORL,0,8,8,215,6.9,17.4,0.394,0.7,2.7,0.25,6.2,14.7,0.42,2.8,3.2,0.895,0.8,3.3,4.2,7.2,1.3,0.3,3,3,17.2
Wenyen Gabriel,PF,23,NOP,0,3,0,10,0,10.8,0,0,3.6,0,0,7.2,0,0,0,0,3.6,10.8,14.4,3.6,0,0,0,0,0
Daniel Gafford,PF,22,CHI,0,23,11,330,5.3,8,0.671,0,0,0,5.3,8,0.671,2.7,4,0.676,3.6,4.7,8.3,1.7,1.2,3.2,2,5.1,13.4
Danilo Gallinari,PF,32,ATL,0,16,1,315,5.5,13.8,0.397,3,7.9,0.377,2.5,5.9,0.423,5.6,5.9,0.942,0.3,4.9,5.3,2.1,0.3,0.2,2.2,3.5,19.5
Langston Galloway,SG,29,PHO,0,22,0,245,5,10.7,0.466,2.9,6.2,0.476,2.1,4.6,0.452,2.4,2.4,1,0.6,2.9,3.5,2.2,0.6,0,1,1.9,15.3
Darius Garland,PG,21,CLE,0,21,18,679,7.2,15.9,0.452,1.9,4.6,0.407,5.3,11.3,0.469,1.5,1.6,0.903,0.5,2,2.5,5.9,1.1,0.2,2.8,2.7,17.7
Marc Gasol,C,36,LAL,0,29,29,579,2.5,6.2,0.4,1.2,3.5,0.351,1.2,2.7,0.465,1.4,1.6,0.88,1.4,6.2,7.6,3.3,0.7,2.2,1.5,4.3,7.6
Rudy Gay,PF,34,SAS,0,26,0,572,6.8,16.2,0.419,2.6,7,0.366,4.2,9.2,0.459,2.1,2.7,0.767,1.5,7,8.5,2.5,1.1,0.8,1.9,3,18.3
Paul George,SF,30,LAC,2,20,20,680,8.9,17.5,0.508,4,8.3,0.478,4.9,9.2,0.534,4,4.4,0.905,0.7,5.9,6.6,5.8,1.3,0.5,3.8,2.4,25.8
Taj Gibson,PF,35,NYK,0,8,0,109,3.3,6.6,0.5,0.3,1.7,0.2,3,5,0.6,1,2,0.5,3.6,4.6,8.3,1.3,0.7,1,0.7,5,7.9
